Coding,Impression,Major,College,Hired,SPORTSPLAYED,TIKTOK,Age
Weak,Nerdy,DataScience,BestCollege,No,Soccer,Sillyjunk,52.67199501
Excellent,Shy,CS,BYU,No,Basketball,Sillyjunk,25.69496217
OK,Outgoing,Stats,Redbrick,No,NONE,Nerdystuff,33.93584345
Excellent,Outgoing,DataScience,PJIT,No,Basketball,Nerdystuff,35.29018236
Excellent,Shy,IT,Peters,No,Basketball,Nerdystuff,43.71506004
Excellent,Shy,CS,BYU,Yes,Tennis,NoAccount,56.31715585
Weak,Nerdy,DataScience,BYU,Yes,Soccer,NoAccount,58.12116729
OK,Outgoing,IT,Redbrick,No,Soccer,Nerdystuff,49.14527701
Weak,Outgoing,Stats,BestCollege,No,Basketball,Sillyjunk,61.99692881
Excellent,Nerdy,CS,BYU,No,Soccer,Nerdystuff,33.04670996
OK,Outgoing,CS,BestCollege,No,Basketball,Sillyjunk,43.34185968
Weak,Nerdy,DataScience,PJIT,No,Basketball,Nerdystuff,37.67590163
Excellent,Outgoing,Stats,BYU,Yes,Tennis,Sillyjunk,52.87314807
OK,Outgoing,CS,Redbrick,No,Basketball,Nerdystuff,56.87374813
Weak,Nerdy,DataScience,Redbrick,No,NONE,Nerdystuff,55.92706431
Weak,Shy,Stats,BestCollege,No,Soccer,Sillyjunk,41.4727525
OK,Outgoing,Stats,Peters,No,Basketball,NoAccount,56.28544261
Excellent,Nerdy,IT,BestCollege,Yes,NONE,Sillyjunk,28.1426992
OK,Outgoing,DataScience,PJIT,No,Basketball,Nerdystuff,43.99874125
Excellent,Nerdy,CS,Redbrick,Yes,NONE,Nerdystuff,54.81128931
Weak,Shy,DataScience,BestCollege,No,NONE,Sillyjunk,25.89546949
Weak,Confident,Stats,BYU,No,Soccer,Sillyjunk,45.61755515
Weak,Outgoing,CS,BYU,Yes,Tennis,Nerdystuff,34.73879512
Excellent,Nerdy,Stats,Redbrick,Yes,NONE,Nerdystuff,44.48834076
Weak,Outgoing,CS,PJIT,No,Basketball,NoAccount,58.65594163
Weak,Outgoing,CS,PJIT,Yes,Basketball,Sillyjunk,22.5478624
OK,Outgoing,DataScience,BYU,No,Basketball,Nerdystuff,58.33522966
Excellent,Nerdy,Stats,Peters,Yes,NONE,Sillyjunk,27.04887209
OK,Nerdy,DataScience,BYU,Yes,Basketball,Sillyjunk,35.46018898
OK,Shy,IT,BYU,No,NONE,Sillyjunk,60.05381982
OK,Nerdy,CS,Peters,No,Tennis,NoAccount,50.3370788
Excellent,Outgoing,IT,BestCollege,No,Tennis,Sillyjunk,25.93332503
Weak,Outgoing,Stats,Redbrick,No,Basketball,Nerdystuff,36.5509079
Excellent,Nerdy,Stats,Peters,No,Soccer,Sillyjunk,24.2906982
Weak,Shy,Stats,BYU,No,Basketball,NoAccount,25.61465594
Weak,Confident,CS,BestCollege,No,Soccer,Sillyjunk,44.68872443
OK,Outgoing,IT,BestCollege,No,Basketball,Sillyjunk,61.15599394
Weak,Outgoing,DataScience,BYU,Yes,Basketball,NoAccount,30.00272022
Weak,Confident,DataScience,Peters,No,Tennis,NoAccount,37.07820557
OK,Shy,Stats,BYU,Yes,Soccer,Sillyjunk,47.97355124
OK,Outgoing,CS,Peters,Yes,Basketball,NoAccount,28.5788975
OK,Outgoing,CS,BestCollege,No,NONE,Sillyjunk,50.47142197
Weak,Confident,DataScience,BYU,No,Basketball,Sillyjunk,25.35451663
Weak,Confident,CS,PJIT,No,Basketball,Sillyjunk,60.24682147
OK,Confident,CS,BYU,Yes,Basketball,NoAccount,21.00396435
OK,Outgoing,CS,PJIT,Yes,Basketball,NoAccount,57.10982275
OK,Nerdy,Stats,PJIT,No,Basketball,Sillyjunk,38.95737985
Excellent,Confident,DataScience,Redbrick,No,NONE,Nerdystuff,31.73003182
OK,Confident,IT,Peters,No,Basketball,Sillyjunk,50.39859171
Weak,Confident,CS,BestCollege,No,NONE,Sillyjunk,39.85434424
Weak,Nerdy,IT,Redbrick,No,NONE,Nerdystuff,59.8928398
OK,Outgoing,Stats,BYU,Yes,Basketball,Sillyjunk,28.8406447
Weak,Outgoing,IT,PJIT,Yes,Basketball,Sillyjunk,44.43203162
Excellent,Shy,IT,BYU,Yes,Basketball,NoAccount,39.06347592
OK,Nerdy,IT,BestCollege,No,Basketball,Sillyjunk,46.19121344
Weak,Outgoing,DataScience,Redbrick,No,NONE,Nerdystuff,51.53136555
OK,Outgoing,IT,PJIT,No,Basketball,NoAccount,51.36017071
Weak,Nerdy,Stats,BYU,No,Basketball,Sillyjunk,55.7703197
Weak,Outgoing,IT,BYU,No,NONE,NoAccount,25.76363517
Weak,Nerdy,IT,PJIT,Yes,Basketball,NoAccount,37.70473862
Weak,Confident,IT,Redbrick,Yes,NONE,Nerdystuff,37.14026028
Excellent,Confident,CS,Redbrick,Yes,Basketball,Sillyjunk,42.24782559
Weak,Outgoing,Stats,BestCollege,Yes,Basketball,Sillyjunk,27.37808563
OK,Nerdy,CS,Redbrick,No,NONE,Nerdystuff,23.75767384
OK,Nerdy,Stats,Peters,No,NONE,Sillyjunk,55.18209017
Excellent,Confident,IT,Redbrick,Yes,Tennis,Nerdystuff,22.75851728
Weak,Nerdy,IT,BYU,No,Soccer,Sillyjunk,43.29088395
Excellent,Nerdy,DataScience,Peters,Yes,Tennis,Nerdystuff,54.20192661
Weak,Outgoing,DataScience,BYU,No,Tennis,NoAccount,47.54686454
Weak,Outgoing,Stats,Peters,No,NONE,Sillyjunk,50.01720428
OK,Confident,IT,Redbrick,No,NONE,Nerdystuff,35.59279705
OK,Nerdy,CS,Redbrick,No,NONE,Nerdystuff,59.48970085
Weak,Outgoing,Stats,PJIT,No,Basketball,Sillyjunk,53.97942268
Excellent,Outgoing,DataScience,BYU,Yes,Tennis,Nerdystuff,29.76877492
OK,Outgoing,Stats,Redbrick,No,Basketball,Nerdystuff,23.69412833
Weak,Outgoing,CS,PJIT,No,Basketball,NoAccount,41.6524102
Weak,Outgoing,DataScience,PJIT,No,Basketball,NoAccount,35.29808984
Excellent,Nerdy,Stats,Peters,No,NONE,Nerdystuff,33.59683576
Weak,Outgoing,CS,BestCollege,No,Basketball,Sillyjunk,57.54030704
Weak,Confident,CS,BestCollege,Yes,Soccer,Sillyjunk,58.40550037
Excellent,Confident,DataScience,Redbrick,Yes,Basketball,Sillyjunk,46.39263475
Weak,Nerdy,IT,Peters,No,Tennis,NoAccount,24.38378024
OK,Outgoing,Stats,Peters,No,NONE,Nerdystuff,31.61848506
Weak,Shy,CS,Peters,No,Tennis,Sillyjunk,47.11103765
Weak,Confident,DataScience,BestCollege,Yes,Basketball,Sillyjunk,29.08526096
Weak,Nerdy,CS,Peters,No,Soccer,Sillyjunk,58.77028526
OK,Nerdy,IT,BYU,No,Tennis,Sillyjunk,30.32914686
OK,Nerdy,IT,Peters,Yes,Soccer,NoAccount,28.73797662
Weak,Confident,Stats,Peters,No,Soccer,Sillyjunk,57.01765415
Excellent,Outgoing,DataScience,BestCollege,No,Tennis,Sillyjunk,32.76895847
OK,Confident,CS,BestCollege,No,Soccer,Sillyjunk,54.3656387
OK,Confident,CS,Redbrick,No,NONE,Sillyjunk,58.98323147
Weak,Confident,IT,Peters,No,Tennis,Sillyjunk,22.19139554
Excellent,Nerdy,IT,BestCollege,No,Tennis,Sillyjunk,45.53725501
OK,Confident,Stats,PJIT,Yes,Basketball,Sillyjunk,39.11601901
Excellent,Outgoing,DataScience,PJIT,No,Basketball,Nerdystuff,53.76014311
OK,Shy,IT,Redbrick,No,Basketball,Nerdystuff,49.96774622
Excellent,Confident,Stats,PJIT,Yes,Basketball,Sillyjunk,38.51448811
Excellent,Outgoing,DataScience,BYU,No,NONE,NoAccount,47.14387106
Excellent,Nerdy,DataScience,Peters,Yes,Soccer,Sillyjunk,22.16018436
OK,Outgoing,DataScience,Peters,No,Basketball,NoAccount,40.78344188
Excellent,Nerdy,IT,PJIT,No,Basketball,Sillyjunk,31.75038665
Weak,Nerdy,DataScience,PJIT,No,Basketball,Sillyjunk,39.54217768
Excellent,Shy,Stats,Peters,No,NONE,Nerdystuff,42.85493128
Excellent,Outgoing,Stats,BYU,Yes,Tennis,Sillyjunk,50.88008304
Weak,Outgoing,DataScience,PJIT,No,Basketball,Sillyjunk,44.6320967
OK,Nerdy,CS,Peters,No,NONE,NoAccount,39.68270033
Excellent,Nerdy,CS,Peters,No,NONE,Nerdystuff,35.07896228
Weak,Nerdy,CS,BYU,No,Soccer,Nerdystuff,23.27181688
OK,Nerdy,DataScience,BYU,Yes,Soccer,Nerdystuff,47.38507317
OK,Shy,IT,BestCollege,No,Soccer,Sillyjunk,61.67139551
Weak,Nerdy,Stats,BYU,Yes,Soccer,Nerdystuff,39.83199461
Excellent,Nerdy,Stats,BestCollege,Yes,Tennis,Sillyjunk,38.9055793
OK,Confident,DataScience,BestCollege,No,NONE,Sillyjunk,40.95737145
Excellent,Nerdy,Stats,Redbrick,Yes,Soccer,Nerdystuff,26.40226046
Weak,Nerdy,CS,Redbrick,No,Tennis,Nerdystuff,56.05932751
Excellent,Confident,IT,PJIT,No,Basketball,Sillyjunk,46.75851724
Excellent,Confident,Stats,Redbrick,Yes,Tennis,Sillyjunk,43.40544163
Excellent,Nerdy,DataScience,BYU,Yes,NONE,NoAccount,40.72138166
Excellent,Nerdy,IT,BestCollege,No,NONE,Sillyjunk,34.75553245
Weak,Outgoing,DataScience,PJIT,No,Basketball,Nerdystuff,53.19309946
Excellent,Outgoing,Stats,BYU,No,Basketball,NoAccount,36.33496196
Weak,Nerdy,DataScience,BestCollege,No,Tennis,Sillyjunk,51.17293038
Weak,Shy,Stats,PJIT,No,Basketball,Sillyjunk,30.44148752
Weak,Confident,DataScience,PJIT,No,Basketball,Sillyjunk,43.98830855
Weak,Shy,CS,PJIT,No,Basketball,Sillyjunk,56.56650792
OK,Shy,DataScience,Peters,No,Basketball,Nerdystuff,22.68187161
Excellent,Nerdy,DataScience,Peters,Yes,NONE,NoAccount,50.29170861
OK,Outgoing,DataScience,PJIT,Yes,Basketball,Nerdystuff,46.21152521
OK,Outgoing,CS,BYU,Yes,NONE,NoAccount,51.33506935
Excellent,Outgoing,CS,BYU,Yes,Tennis,Sillyjunk,46.28669745
OK,Confident,DataScience,BYU,Yes,Soccer,Sillyjunk,42.96988964
Excellent,Outgoing,IT,BYU,No,Tennis,Sillyjunk,37.55981492
OK,Shy,Stats,Redbrick,No,Tennis,Nerdystuff,45.79642664
Excellent,Nerdy,DataScience,BestCollege,Yes,Tennis,Sillyjunk,52.13607211
Excellent,Confident,Stats,Redbrick,Yes,Basketball,Sillyjunk,50.24384146
Weak,Shy,Stats,PJIT,No,Basketball,Nerdystuff,29.21961029
Weak,Outgoing,CS,Redbrick,No,Basketball,Nerdystuff,57.18803518
Weak,Shy,IT,Peters,Yes,Soccer,NoAccount,36.78489779
OK,Nerdy,CS,PJIT,No,Basketball,Nerdystuff,54.39852582
Weak,Outgoing,CS,BYU,No,NONE,Sillyjunk,26.89200712
Excellent,Shy,Stats,Redbrick,Yes,Basketball,Nerdystuff,39.45403288
OK,Confident,CS,PJIT,No,Basketball,Sillyjunk,30.93256093
Excellent,Confident,IT,Redbrick,No,NONE,Nerdystuff,24.27521033
Weak,Outgoing,Stats,PJIT,No,Basketball,Nerdystuff,56.83986287
Excellent,Outgoing,IT,PJIT,No,Basketball,Sillyjunk,58.51985964
Excellent,Outgoing,Stats,Redbrick,No,NONE,Nerdystuff,61.36937385
Weak,Confident,Stats,BestCollege,No,Basketball,Sillyjunk,23.11395037
OK,Shy,DataScience,Peters,No,Tennis,NoAccount,33.53105591
Weak,Shy,Stats,BYU,No,Tennis,NoAccount,24.2348549
Excellent,Outgoing,IT,PJIT,No,Basketball,Nerdystuff,58.51615388
Excellent,Outgoing,CS,BestCollege,Yes,NONE,Sillyjunk,39.50922403
Weak,Confident,DataScience,BestCollege,Yes,Soccer,Sillyjunk,30.8795776
Weak,Nerdy,Stats,BYU,No,Soccer,NoAccount,48.87944143
OK,Nerdy,Stats,Peters,No,Soccer,NoAccount,57.38567279
OK,Outgoing,DataScience,BestCollege,No,Basketball,Sillyjunk,52.32698894
Excellent,Nerdy,IT,PJIT,Yes,Basketball,NoAccount,31.27551778
OK,Shy,DataScience,BestCollege,No,Soccer,Sillyjunk,23.11396838
Excellent,Outgoing,IT,Peters,No,NONE,Sillyjunk,56.48098218
OK,Outgoing,Stats,Peters,No,Basketball,Sillyjunk,45.14462213
Excellent,Confident,DataScience,Redbrick,No,NONE,Sillyjunk,48.42777351
Excellent,Nerdy,IT,Peters,Yes,Tennis,Nerdystuff,42.08375403
Excellent,Nerdy,CS,Peters,Yes,Soccer,Sillyjunk,58.47652859
Weak,Outgoing,Stats,BYU,No,Basketball,Nerdystuff,35.22403366
Weak,Confident,Stats,BYU,No,Basketball,Sillyjunk,47.77114515
Weak,Shy,IT,BestCollege,No,NONE,Sillyjunk,40.19167395
Excellent,Outgoing,CS,BYU,No,Soccer,Nerdystuff,55.88699253
OK,Shy,Stats,Peters,No,Soccer,Nerdystuff,52.48086335
Weak,Confident,DataScience,BestCollege,No,Basketball,Sillyjunk,30.85781987
Excellent,Outgoing,Stats,PJIT,Yes,Basketball,Sillyjunk,29.37025952
Weak,Shy,Stats,BestCollege,No,Basketball,Sillyjunk,24.17144776
Excellent,Outgoing,CS,BYU,Yes,Soccer,Nerdystuff,32.29018554
Excellent,Nerdy,DataScience,Redbrick,Yes,Tennis,Nerdystuff,30.22390565
Excellent,Nerdy,DataScience,Redbrick,Yes,NONE,Nerdystuff,37.2310058
OK,Nerdy,CS,Redbrick,No,Soccer,Nerdystuff,50.18959648
Weak,Outgoing,CS,BestCollege,No,NONE,Sillyjunk,36.83450959
Excellent,Outgoing,DataScience,PJIT,No,Basketball,Nerdystuff,56.23942026
OK,Shy,DataScience,BestCollege,Yes,Basketball,Sillyjunk,42.92230673
Weak,Nerdy,Stats,BestCollege,No,Soccer,Sillyjunk,23.99882821
OK,Shy,IT,BestCollege,No,NONE,Sillyjunk,46.09239081
OK,Outgoing,CS,Peters,No,Basketball,NoAccount,38.11977957
OK,Nerdy,DataScience,BestCollege,No,Basketball,Sillyjunk,50.20862659
OK,Shy,IT,PJIT,No,Basketball,Nerdystuff,46.9266058
OK,Confident,Stats,PJIT,No,Basketball,Sillyjunk,55.31018395
Excellent,Outgoing,IT,PJIT,No,Basketball,NoAccount,31.50078933
Weak,Nerdy,IT,Redbrick,No,Tennis,Nerdystuff,30.88647671
Excellent,Nerdy,CS,BYU,No,Soccer,NoAccount,45.89850813
Excellent,Nerdy,DataScience,Redbrick,No,Basketball,Nerdystuff,29.04065251
Excellent,Shy,DataScience,PJIT,Yes,Basketball,Sillyjunk,27.44970609
Excellent,Outgoing,DataScience,BestCollege,Yes,Basketball,Sillyjunk,30.54208391
Weak,Outgoing,DataScience,BestCollege,No,Basketball,Sillyjunk,31.33048015
Weak,Shy,CS,BestCollege,No,Basketball,Sillyjunk,40.30484641
Weak,Nerdy,CS,BYU,Yes,Tennis,Sillyjunk,57.07315763
Weak,Confident,CS,BYU,No,Basketball,Sillyjunk,53.04689239
OK,Outgoing,CS,Peters,Yes,NONE,Sillyjunk,56.68848749
Weak,Outgoing,IT,PJIT,No,Basketball,NoAccount,57.12594919
OK,Outgoing,Stats,Peters,No,NONE,NoAccount,35.15298305
OK,Nerdy,DataScience,BYU,No,NONE,Sillyjunk,41.23976114
OK,Shy,CS,BestCollege,Yes,Basketball,Sillyjunk,32.18854347
Excellent,Nerdy,CS,Redbrick,Yes,Tennis,Nerdystuff,55.39559542
OK,Confident,DataScience,Peters,No,Soccer,Sillyjunk,35.16038523
Weak,Shy,CS,Peters,No,NONE,NoAccount,28.60087374
OK,Outgoing,CS,Peters,No,Tennis,NoAccount,54.89050466
Weak,Shy,CS,Peters,No,Tennis,NoAccount,33.37890324
OK,Confident,CS,PJIT,No,Basketball,Sillyjunk,45.96939716
Excellent,Nerdy,CS,Peters,Yes,Soccer,NoAccount,53.42383292
Excellent,Outgoing,DataScience,BestCollege,No,Soccer,Sillyjunk,54.98813117
Weak,Outgoing,CS,BYU,No,Basketball,Sillyjunk,36.30201184
Excellent,Confident,DataScience,Peters,No,Soccer,Sillyjunk,22.02517518
Excellent,Nerdy,DataScience,Peters,Yes,NONE,NoAccount,53.72384766
Weak,Confident,DataScience,BestCollege,No,Tennis,Sillyjunk,51.13870547
Excellent,Shy,DataScience,BestCollege,No,Soccer,Sillyjunk,37.052187
Weak,Nerdy,Stats,BYU,No,NONE,Sillyjunk,45.11556466
Excellent,Outgoing,IT,Peters,No,Tennis,NoAccount,57.34165592
OK,Shy,CS,BestCollege,No,Tennis,Sillyjunk,33.41059192
OK,Nerdy,DataScience,PJIT,Yes,Basketball,Nerdystuff,41.7507694
Weak,Confident,DataScience,BestCollege,Yes,Soccer,Sillyjunk,26.64544582
Weak,Outgoing,Stats,Peters,No,Soccer,Nerdystuff,33.47279176
Excellent,Shy,IT,Redbrick,No,Soccer,Nerdystuff,53.59606772
Weak,Nerdy,Stats,BYU,No,Basketball,Nerdystuff,48.23871378
Excellent,Outgoing,CS,Peters,Yes,Basketball,NoAccount,48.75276498
Excellent,Outgoing,DataScience,BYU,Yes,Basketball,NoAccount,28.49871947
Weak,Confident,IT,BestCollege,No,NONE,Sillyjunk,56.98937335
Excellent,Confident,CS,Redbrick,Yes,NONE,Sillyjunk,53.05265614
Excellent,Outgoing,Stats,Peters,No,NONE,NoAccount,46.308161
Excellent,Confident,IT,BYU,No,NONE,NoAccount,32.04626979
OK,Shy,CS,BYU,No,Tennis,NoAccount,32.15401391
Weak,Shy,CS,Redbrick,Yes,NONE,Nerdystuff,38.17019735
Weak,Outgoing,Stats,BYU,No,Tennis,Nerdystuff,57.7109373
Weak,Outgoing,CS,BestCollege,No,Soccer,Sillyjunk,45.39227431
OK,Nerdy,IT,BestCollege,No,Basketball,Sillyjunk,27.24781301
OK,Outgoing,DataScience,BYU,No,Basketball,Nerdystuff,27.50711744
Excellent,Nerdy,DataScience,BestCollege,Yes,Basketball,Sillyjunk,56.725704
OK,Outgoing,IT,Redbrick,No,NONE,Nerdystuff,39.59396611
Excellent,Shy,Stats,Peters,Yes,Basketball,Nerdystuff,25.41609584
Excellent,Confident,DataScience,BYU,No,NONE,Sillyjunk,43.84849552
Weak,Confident,CS,BestCollege,No,Soccer,Sillyjunk,60.07112751
Weak,Outgoing,DataScience,BYU,No,Soccer,Nerdystuff,36.40823544
Weak,Shy,DataScience,BYU,No,NONE,NoAccount,53.3029776
Weak,Nerdy,Stats,Peters,No,Tennis,Sillyjunk,46.45310118
OK,Nerdy,IT,Peters,No,Soccer,NoAccount,33.52967935
Excellent,Shy,CS,Peters,No,Tennis,NoAccount,56.16388494
Excellent,Shy,DataScience,Redbrick,No,Basketball,Nerdystuff,27.47015616
OK,Outgoing,Stats,Peters,No,NONE,NoAccount,49.77177424
Excellent,Confident,DataScience,Redbrick,No,Soccer,Nerdystuff,38.95286206
OK,Confident,DataScience,Peters,Yes,Soccer,Sillyjunk,52.73233325
Weak,Nerdy,Stats,Redbrick,No,NONE,Nerdystuff,24.49951336
OK,Shy,Stats,BestCollege,No,NONE,Sillyjunk,47.73519551
OK,Shy,IT,Redbrick,Yes,Basketball,Nerdystuff,29.35554785
Weak,Outgoing,IT,Peters,No,Tennis,NoAccount,28.29793628
OK,Nerdy,Stats,PJIT,No,Basketball,Nerdystuff,23.44572922
Weak,Nerdy,IT,Redbrick,Yes,NONE,Nerdystuff,55.93514177
Excellent,Confident,DataScience,PJIT,No,Basketball,Sillyjunk,52.11187984
Excellent,Outgoing,CS,Peters,Yes,Tennis,Nerdystuff,30.70807686
Weak,Confident,Stats,BestCollege,No,Tennis,Sillyjunk,49.81664082
Weak,Shy,IT,BYU,No,Tennis,NoAccount,22.47183847
OK,Outgoing,IT,PJIT,No,Basketball,Nerdystuff,41.52162083
Weak,Confident,IT,PJIT,Yes,Basketball,Sillyjunk,44.29806169
Weak,Outgoing,DataScience,Peters,No,Tennis,NoAccount,47.53953938
OK,Confident,CS,Redbrick,No,Soccer,Nerdystuff,36.7203645
Weak,Confident,DataScience,BYU,No,Tennis,Sillyjunk,46.6412768
Weak,Outgoing,CS,BYU,Yes,Soccer,Sillyjunk,31.27819222
Weak,Nerdy,Stats,BestCollege,No,Basketball,Sillyjunk,35.54086238
OK,Outgoing,IT,PJIT,No,Basketball,Sillyjunk,31.29181337
Excellent,Nerdy,DataScience,BestCollege,Yes,Basketball,Sillyjunk,59.5648007
Excellent,Confident,IT,PJIT,Yes,Basketball,Sillyjunk,22.35768875
Weak,Shy,DataScience,BYU,No,Soccer,NoAccount,35.12322591
OK,Outgoing,CS,BestCollege,No,Tennis,Sillyjunk,48.96862821
Excellent,Confident,CS,BestCollege,Yes,Soccer,Sillyjunk,24.11340229
OK,Confident,IT,Peters,No,NONE,NoAccount,38.92557692
Weak,Confident,CS,Peters,No,NONE,Sillyjunk,23.18046301
OK,Confident,CS,Peters,No,Soccer,Sillyjunk,44.76316669
OK,Outgoing,DataScience,BestCollege,No,Soccer,Sillyjunk,42.17482676
OK,Nerdy,CS,Peters,Yes,NONE,Nerdystuff,22.27626638
Weak,Confident,Stats,BestCollege,No,Basketball,Sillyjunk,29.25802963
Excellent,Outgoing,DataScience,BestCollege,No,NONE,Sillyjunk,58.30017056
OK,Shy,CS,BYU,No,Tennis,Sillyjunk,33.08852401
Excellent,Outgoing,Stats,Redbrick,No,Soccer,Nerdystuff,22.83163113
OK,Nerdy,Stats,BYU,No,Tennis,Sillyjunk,32.72494132
OK,Nerdy,CS,Redbrick,No,Basketball,Nerdystuff,40.96001033
Excellent,Outgoing,IT,Peters,No,Basketball,Sillyjunk,43.25734542
Excellent,Confident,CS,Redbrick,Yes,NONE,Sillyjunk,53.67594788
Excellent,Nerdy,Stats,BestCollege,Yes,Soccer,Sillyjunk,50.84693564
OK,Outgoing,CS,BestCollege,No,Basketball,Sillyjunk,26.38730699
Weak,Confident,CS,Redbrick,No,NONE,Nerdystuff,31.31462643
Excellent,Confident,IT,BestCollege,Yes,NONE,Sillyjunk,33.94607404
Weak,Confident,CS,Peters,No,Soccer,Nerdystuff,37.94933979
Excellent,Nerdy,IT,BYU,Yes,NONE,NoAccount,29.61990511
Excellent,Shy,CS,PJIT,Yes,Basketball,Sillyjunk,26.64707614
Weak,Shy,DataScience,BYU,No,Tennis,Nerdystuff,54.42253442
Weak,Shy,CS,PJIT,No,Basketball,NoAccount,59.02810358
Weak,Shy,Stats,Peters,No,Tennis,NoAccount,31.42407589
OK,Confident,Stats,BestCollege,No,Soccer,Sillyjunk,50.07331455
OK,Confident,IT,BYU,No,Soccer,Sillyjunk,37.53686365
Excellent,Confident,IT,BestCollege,No,Tennis,Sillyjunk,48.91917556
Excellent,Outgoing,IT,BestCollege,No,NONE,Sillyjunk,55.4625388
OK,Shy,DataScience,Redbrick,No,Basketball,Nerdystuff,47.24611439
OK,Shy,CS,Peters,Yes,Tennis,NoAccount,47.72513035
Excellent,Shy,DataScience,Redbrick,No,Tennis,Nerdystuff,55.8056981
Excellent,Confident,IT,Peters,No,NONE,Sillyjunk,43.1660473
Excellent,Outgoing,IT,PJIT,No,Basketball,Nerdystuff,31.42707581
Weak,Outgoing,Stats,BestCollege,Yes,Soccer,Sillyjunk,48.07411075
Excellent,Outgoing,CS,BYU,No,Basketball,NoAccount,25.97401943
Weak,Confident,IT,BYU,No,Tennis,Sillyjunk,23.62176962
OK,Confident,CS,BYU,No,Tennis,Sillyjunk,60.16985365
OK,Outgoing,IT,Redbrick,Yes,Tennis,Nerdystuff,57.46324462
Weak,Outgoing,DataScience,BestCollege,No,Basketball,Sillyjunk,23.98842061
Excellent,Nerdy,IT,Peters,No,NONE,Sillyjunk,55.46603249
Excellent,Shy,CS,Redbrick,Yes,Soccer,Nerdystuff,57.95852105
Excellent,Outgoing,CS,Redbrick,No,NONE,Nerdystuff,25.1753016
Weak,Outgoing,CS,Redbrick,No,Basketball,Nerdystuff,53.26834478
Weak,Shy,Stats,Peters,Yes,Soccer,NoAccount,27.62017212
Excellent,Nerdy,CS,Redbrick,Yes,Basketball,Nerdystuff,24.4334034
Weak,Outgoing,CS,BYU,No,Tennis,Sillyjunk,32.25572265
OK,Nerdy,Stats,BYU,No,Tennis,Sillyjunk,47.30353145
OK,Confident,CS,PJIT,No,Basketball,Sillyjunk,58.87907418
Excellent,Confident,IT,BYU,No,Basketball,Sillyjunk,53.89984653
OK,Nerdy,IT,Peters,No,NONE,NoAccount,41.90337995
Weak,Nerdy,DataScience,BYU,No,Soccer,Nerdystuff,23.09025575
Weak,Outgoing,Stats,PJIT,No,Basketball,Nerdystuff,28.1692623
Excellent,Shy,DataScience,BestCollege,No,Basketball,Sillyjunk,25.44337472
Excellent,Outgoing,DataScience,Redbrick,Yes,Soccer,Nerdystuff,51.47612431
Weak,Outgoing,DataScience,Peters,No,Basketball,Sillyjunk,49.53253481
OK,Nerdy,DataScience,BYU,Yes,Basketball,Nerdystuff,46.55321137
OK,Nerdy,DataScience,BestCollege,No,NONE,Sillyjunk,24.74551203
Weak,Outgoing,Stats,Peters,No,Soccer,Nerdystuff,24.81957947
Excellent,Outgoing,DataScience,Redbrick,Yes,Tennis,Nerdystuff,24.15406658
OK,Outgoing,CS,PJIT,No,Basketball,Sillyjunk,29.71648132
Excellent,Outgoing,DataScience,PJIT,No,Basketball,NoAccount,59.7652867
OK,Outgoing,Stats,PJIT,No,Basketball,NoAccount,33.75269875
Weak,Outgoing,Stats,Redbrick,No,Basketball,Nerdystuff,52.04396341
OK,Outgoing,CS,BestCollege,No,Basketball,Sillyjunk,23.13346226
Weak,Shy,DataScience,Peters,Yes,Tennis,Nerdystuff,34.15598937
OK,Outgoing,IT,PJIT,No,Basketball,NoAccount,38.78729906
Weak,Outgoing,Stats,Redbrick,No,Soccer,Nerdystuff,49.04558175
Weak,Shy,IT,BYU,No,Tennis,Nerdystuff,38.50228265
Weak,Outgoing,IT,Peters,Yes,Soccer,NoAccount,50.45826423
Weak,Shy,CS,Redbrick,No,Tennis,Nerdystuff,27.50312105
Weak,Outgoing,IT,BYU,No,Basketball,Nerdystuff,24.02861724
OK,Outgoing,CS,BestCollege,No,Soccer,Sillyjunk,52.59038901
Weak,Outgoing,DataScience,Redbrick,No,NONE,Nerdystuff,52.62906882
Excellent,Confident,DataScience,Redbrick,No,Basketball,Nerdystuff,37.30695035
OK,Outgoing,DataScience,Redbrick,Yes,Soccer,Nerdystuff,53.24241039
OK,Outgoing,Stats,BYU,No,Basketball,Sillyjunk,26.059486
Weak,Nerdy,Stats,Peters,No,NONE,NoAccount,38.57801406
Excellent,Nerdy,IT,BYU,No,Basketball,Sillyjunk,56.91103316
OK,Outgoing,IT,BestCollege,No,Soccer,Sillyjunk,47.78130855
Excellent,Confident,CS,BYU,Yes,Basketball,NoAccount,37.90179507
Weak,Nerdy,DataScience,Peters,No,Tennis,Nerdystuff,34.26883936
Weak,Confident,Stats,Peters,Yes,Basketball,Sillyjunk,53.50545724
Excellent,Nerdy,CS,BYU,No,NONE,Nerdystuff,51.53853086
Weak,Outgoing,IT,BYU,No,Basketball,Sillyjunk,45.38827776
Excellent,Shy,IT,Redbrick,No,Tennis,Nerdystuff,44.17807398
Excellent,Confident,DataScience,PJIT,Yes,Basketball,NoAccount,23.1864967
OK,Shy,CS,Redbrick,Yes,Soccer,Nerdystuff,41.34283064
OK,Outgoing,IT,Peters,No,Soccer,NoAccount,55.83694832
Excellent,Outgoing,DataScience,Redbrick,Yes,Tennis,Nerdystuff,24.62980698
Excellent,Nerdy,DataScience,Redbrick,No,NONE,Nerdystuff,42.23268123
